DateTime,lp_value,validation_status,dayType,season
2021-01-04 19:00:00,2.405,VAL,Weekday,Winter
2021-01-04 21:00:00,1.217,VAL,Weekday,Winter
2020-12-29 00:00:00,0.187,VAL,Weekday,Winter
2021-01-03 10:00:00,0.399,VAL,Weekend,Winter
2021-01-06 12:00:00,0.698,VAL,Weekday,Winter
2021-01-06 22:00:00,0.256,VAL,Weekday,Winter
2021-01-06 02:00:00,0.249,VAL,Weekday,Winter
2021-01-06 17:00:00,0.763,VAL,Weekday,Winter
2021-01-04 01:00:00,0.284,VAL,Weekday,Winter
2021-01-05 11:00:00,3.646,VAL,Weekday,Winter
2021-01-04 16:00:00,0.608,VAL,Weekday,Winter
2021-01-06 14:00:00,1.998,VAL,Weekday,Winter
2020-12-28 22:00:00,0.216,VAL,Weekday,Winter
2021-01-04 13:00:00,0.251,VAL,Weekday,Winter
2020-12-29 02:00:00,0.132,VAL,Weekday,Winter
2021-01-03 16:00:00,0.167,VAL,Weekend,Winter
2021-01-03 19:00:00,0.052,VAL,Weekend,Winter
2021-01-05 17:00:00,1.452,VAL,Weekday,Winter
2021-01-06 21:00:00,0.439,VAL,Weekday,Winter
2021-01-03 11:00:00,1.373,VAL,Weekend,Winter
2021-01-03 21:00:00,1.973,VAL,Weekend,Winter
2021-01-06 11:00:00,0.586,VAL,Weekday,Winter
2021-01-03 18:00:00,0.087,VAL,Weekend,Winter
2021-01-05 19:00:00,2.247,VAL,Weekday,Winter
2021-01-05 06:00:00,0.4,VAL,Weekday,Winter
2021-01-06 05:00:00,0.035,VAL,Weekday,Winter
2021-01-06 15:00:00,1.84,VAL,Weekday,Winter
2021-01-05 13:00:00,0.715,VAL,Weekday,Winter
2021-01-04 04:00:00,0.128,VAL,Weekday,Winter
2021-01-04 14:00:00,0.021,VAL,Weekday,Winter
2021-01-05 23:00:00,0.104,VAL,Weekday,Winter
2021-01-03 17:00:00,0.268,VAL,Weekend,Winter
2021-01-03 22:00:00,0.887,VAL,Weekend,Winter
2021-01-06 10:00:00,0.768,VAL,Weekday,Winter
2021-01-06 04:00:00,0.154,VAL,Weekday,Winter
2020-12-29 01:00:00,0.272,VAL,Weekday,Winter
2021-01-05 07:00:00,0.999,VAL,Weekday,Winter
2021-01-07 02:00:00,0.235,VAL,Weekday,Winter
2021-01-04 03:00:00,0.381,VAL,Weekday,Winter
2021-01-06 16:00:00,1.742,VAL,Weekday,Winter
2021-01-05 12:00:00,2.142,VAL,Weekday,Winter
2021-01-04 20:00:00,2.152,VAL,Weekday,Winter
2020-12-28 20:00:00,0.992,VAL,Weekday,Winter
2021-01-04 05:00:00,0.148,VAL,Weekday,Winter
2021-01-04 15:00:00,0.308,VAL,Weekday,Winter
2021-01-06 03:00:00,0.154,VAL,Weekday,Winter
2021-01-06 13:00:00,1.083,VAL,Weekday,Winter
2021-01-04 02:00:00,0.229,VAL,Weekday,Winter
2021-01-04 12:00:00,1.178,VAL,Weekday,Winter
2021-01-04 22:00:00,0.324,VAL,Weekday,Winter
2021-01-05 20:00:00,1.7,VAL,Weekday,Winter
2021-01-05 10:00:00,0.432,VAL,Weekday,Winter
2021-01-05 00:00:00,0.273,VAL,Weekday,Winter
2020-12-28 21:00:00,1.906,VAL,Weekday,Winter
2021-01-05 18:00:00,2.203,VAL,Weekday,Winter
2021-01-05 08:00:00,0.469,VAL,Weekday,Winter
2020-12-28 19:00:00,0.092,VAL,Weekday,Winter
2020-12-28 16:00:00,1.087,VAL,Weekday,Winter
2021-01-03 12:00:00,1.802,VAL,Weekend,Winter
2021-01-06 09:00:00,1.991,VAL,Weekday,Winter
2021-01-06 00:00:00,0.27,VAL,Weekday,Winter
2021-01-06 20:00:00,0.626,VAL,Weekday,Winter
2021-01-05 05:00:00,0.276,VAL,Weekday,Winter
2021-01-06 23:00:00,0.267,VAL,Weekday,Winter
2021-01-05 02:00:00,0.326,VAL,Weekday,Winter
2021-01-04 08:00:00,1.325,VAL,Weekday,Winter
2021-01-04 10:00:00,2.367,VAL,Weekday,Winter
2021-01-06 06:00:00,0.929,VAL,Weekday,Winter
2021-01-06 08:00:00,0.992,VAL,Weekday,Winter
2021-01-04 00:00:00,0.407,VAL,Weekday,Winter
